,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
203,/organization/acerno,acerno,|Curated Web|,Curated Web,USA,NY,New York City,New York,/organization/akamai-technologies,Akamai Technologies,|SaaS|IaaS|Digital Media|Video Streaming|Data Security|Content Delivery|Cloud Computing|Business Services|Enterprise Software|,Business Services,USA,MA,Boston,Cambridge,2008-10-21,2008-10,2008-Q4,2008.0,95000000,USD
211,/organization/acompli-inc,Acompli,|Consumer Internet|Mobile Security|Android|iOS|SaaS|Mobile|Email|Enterprise Software|,Android,USA,CA,SF Bay Area,San Francisco,/organization/microsoft,Microsoft,|Video Games|Software|,Video Games,USA,WA,Seattle,Redmond,2014-12-01,2014-12,2014-Q4,2014.0,200000000,USD
212,/organization/acopia-networks,Acopia Networks,|Software|,Software,USA,MA,Boston,Lowell,/organization/f5-networks,F5 Networks,|Communications Hardware|Technology|Virtualization|Consumer Electronics|Optimization|Services|Meeting Software|Security|,Communications Hardware,USA,WA,Seattle,Seattle,2007-08-06,2007-08,2007-Q3,2007.0,210000000,USD
215,/organization/acquity-group,Acquity Group,|Design|User Experience Design|Technology|Web Presence Management|E-Commerce|,Design,USA,IL,Chicago,Chicago,/organization/accenture,Accenture,|Business Services|Outsourcing|Consulting|,Business Services,USA,CA,San Diego,San Diego,2013-05-19,2013-05,2013-Q2,2013.0,316000000,USD
232,/organization/active-aero-group-inc,Active Aero Group,|Logistics Company|,Logistics Company,USA,MI,Detroit,Belleville,/organization/roadrunner-transportation-systems,Roadrunner Transportation Systems,|Public Transportation|,Public Transportation,USA,WI,Milwaukee,Cudahy,2014-08-12,2014-08,2014-Q3,2014.0,115000000,USD
262,/organization/adap-tv,Adap.tv,|Auctions|Television|Video|Advertising|,Television,USA,CA,SF Bay Area,San Mateo,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Content Creators,USA,NY,New York City,New York,2013-08-07,2013-08,2013-Q3,2013.0,405000000,USD
269,/organization/adaptix,ADAPTIX,|Public Relations|,Public Relations,USA,TX,Dallas,Carrollton,/organization/acacia-research,Acacia Research,|Finance|,Finance,USA,CA,Anaheim,Newport Beach,2012-01-13,2012-01,2012-Q1,2012.0,160000000,USD
276,/organization/adcenter,AdCenter,|Advertising Platforms|Advertising|,Advertising Platforms,USA,NY,New York City,New York,/organization/vertamedia,VertaMedia,|Advertising|,Advertising,USA,NY,New York City,New York,2014-07-22,2014-07,2014-Q3,2014.0,400000,USD
284,/organization/adconion-media-group,Adconion Media Group,|Entertainment|Ad Targeting|Advertising|,Entertainment,USA,CA,Los Angeles,Santa Monica,/organization/amobee,Amobee,|Advertising|,Advertising,USA,CA,SF Bay Area,Redwood City,2014-06-10,2014-06,2014-Q2,2014.0,235000000,USD
297,/organization/adenyo,Adenyo,|Mobile|,Mobile,CAN,ON,Toronto,Toronto,/organization/voltari,Voltari,|Real Time|Machine Learning|Ad Targeting|Analytics|Big Data|Predictive Analytics|Sales and Marketing|Mobile|Advertising|,Advertising,USA,NY,New York City,New York,2011-01-31,2011-01,2011-Q1,2011.0,100000000,USD
300,/organization/adeptra,Adeptra,|Public Relations|,Public Relations,USA,CT,Hartford,Norwalk,/organization/fair-isaac-corporation,FICO (Fair Isaac Corporation),|Software|,Software,USA,MN,Minneapolis,Minneapolis,2012-08-16,2012-08,2012-Q3,2012.0,115000000,USD
307,/organization/adgrok,AdGrok,|Advertising|,Advertising,USA,CA,SF Bay Area,San Francisco,/organization/twitter,Twitter,|Software|SMS|MicroBlogging|Messaging|Social Media|,Software,USA,CA,SF Bay Area,San Francisco,2011-05-31,2011-05,2011-Q2,2011.0,10000000,USD
311,/organization/adiana,Adiana,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Redwood City,/organization/cytyc,Cytyc,|Biotechnology|,Biotechnology,USA,MA,Boston,Marlborough,2007-02-26,2007-02,2007-Q1,2007.0,215000000,USD
312,/organization/adify,Adify,|Advertising|,Advertising,USA,CA,SF Bay Area,San Bruno,/organization/cox-enterprises,Cox Enterprises,|Software|Digital Media|Broadcasting|,Digital Media,USA,GA,Atlanta,Atlanta,2008-04-28,2008-04,2008-Q2,2008.0,300000000,USD
