,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
482,/organization/egroups,eGroups,|Curated Web|,Curated Web,USA,CA,SF Bay Area,San Francisco,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,6/28/00,2000-06,2000-Q2,2000,432000000,USD
872,/organization/mapquest,MapQuest,|Curated Web|,Curated Web,USA,PA,Harrisburg,Lancaster,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,12/22/99,1999-12,1999-Q4,1999,1100000000,USD
1585,/organization/vicinity-corp,Vicinity Corporation,|Curated Web|,Curated Web,USA,CA,SF Bay Area,Sunnyvale,/organization/microsoft,Microsoft,|Video Games|Software|,Software,USA,WA,Seattle,Redmond,10/22/02,2002-10,2002-Q4,2002,96000000,USD
119,/organization/aquantive,aQuantive,|Curated Web|,Curated Web,USA,WA,Seattle,Seattle,/organization/microsoft,Microsoft,|Video Games|Software|,Software,USA,WA,Seattle,Redmond,5/18/07,2007-05,2007-Q2,2007,6400000000,USD
601,/organization/going,Going,|Events|Curated Web|,Curated Web,USA,MA,Boston,Boston,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,6/11/09,2009-06,2009-Q2,2009,10000000,USD
1547,/organization/upcoming,Upcoming,|Local|Events|Curated Web|,Curated Web,USA,CA,SF Bay Area,Santa Clara,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,10/5/05,2005-10,2005-Q4,2005,1000000,USD
348,/organization/concept-io,Concept.io,|Content Discovery|Personalization|Machine Learning|Mobile|,Curated Web,USA,CA,SF Bay Area,Mountain View,/organization/apple,Apple,|Computers|Consumer Electronics|Hardware + Software|,Hardware + Software,USA,CA,SF Bay Area,Cupertino,7/28/14,2014-07,2014-Q3,2014,30000000,USD
1682,/organization/zagat,Zagat,|Restaurants|Reviews and Recommendations|Local|Curated Web|,Curated Web,USA,NY,New York City,New York,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,10/26/11,2011-10,2011-Q4,2011,151000000,USD
324,/organization/clipboard,Clipboard,|Social Media|Social Bookmarking|Curated Web|,Curated Web,USA,WA,Seattle,Bellevue,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,5/9/13,2013-05,2013-Q2,2013,12000000,USD
1254,/organization/rivals-com,Rivals.com,|E-Commerce|,E-Commerce,USA,TN,Nashville,Brentwood,/organization/yahoo,Yahoo!,|Photography|Email|Portals|Search|Curated Web|,Service Provider,USA,CA,SF Bay Area,Sunnyvale,6/20/07,2007-06,2007-Q2,2007,100000000,USD
757,/organization/jambool,Jambool,|E-Commerce|Internet|Facebook Applications|Social Media|Virtual Currency|Virtual Goods|Finance|,E-Commerce,USA,CA,SF Bay Area,San Francisco,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,8/9/10,2010-08,2010-Q3,2010,70000000,USD
325,/organization/cloupia,Cloupia,|Cloud Management|Cloud Computing|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Santa Clara,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,11/15/12,2012-11,2012-Q4,2012,125000000,USD
1097,/organization/parature,Parature,|Customer Service|Customer Support Tools|Software|,Enterprise Software,USA,VA,"Washington, D.C.",Herndon,/organization/microsoft,Microsoft,|Video Games|Software|,Software,USA,WA,Seattle,Redmond,1/6/14,2014-01,2014-Q1,2014,100000000,USD
425,/organization/assistly,Desk,|Customer Support Tools|Tech Field Support|Customer Service|CRM|SaaS|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,9/21/11,2011-09,2011-Q3,2011,50000000,USD
1270,/organization/radian6,Salesforce Radian6,|Social Media Marketing|Social Media Monitoring|CRM|Curated Web|,Enterprise Software,CAN,NS,Fredericton,Fredericton,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,3/30/11,2011-03,2011-Q1,2011,326000000,USD
1324,/organization/siebel,Siebel Systems,|CRM|Software|,Enterprise Software,USA,CA,SF Bay Area,Redwood Shores,/organization/oracle,Oracle Corporation,|Software|Hardware|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Redwood City,1/31/06,2006-01,2006-Q1,2006,5850000000,USD
708,/organization/instranet,InStranet,|Enterprise Software|,Enterprise Software,USA,IL,Chicago,Chicago,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,8/4/08,2008-08,2008-Q3,2008,31500000,USD
1229,/organization/relateiq,RelateIQ,|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Palo Alto,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,7/11/14,2014-07,2014-Q3,2014,390000000,USD
643,/organization/heroku,Heroku,|Venture Capital|Web Development|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,12/8/10,2010-12,2010-Q4,2010,250000000,USD
602,/organization/goinstant,GoInstant,|Enterprise Software|,Enterprise Software,CAN,NS,Halifax,Halifax,/organization/salesforce,Salesforce,|Software|Hardware + Software|Enterprises|Cloud Computing|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,7/9/12,2012-07,2012-Q3,2012,70000000,USD
1417,/organization/sun-microsystems,Sun Microsystems,|Software|Hardware|Computers|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Santa Clara,/organization/oracle,Oracle Corporation,|Software|Hardware|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Redwood City,4/20/09,2009-04,2009-Q2,2009,7400000000,USD
1402,/organization/starent-networks,Starent Networks,|Telecommunications|Enterprise Software|,Enterprise Software,USA,MA,Boston,Tewksbury,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,12/18/09,2009-12,2009-Q4,2009,2900000000,USD
487,/organization/eloqua,Eloqua,|Marketing Automation|B2B|Sales and Marketing|Enterprise Software|,Enterprise Software,USA,VA,"Washington, D.C.",Vienna,/organization/oracle,Oracle Corporation,|Software|Hardware|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Redwood City,12/20/12,2012-12,2012-Q4,2012,871000000,USD
820,/organization/lightwire,Lightwire,|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Santa Clara,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,2/24/12,2012-02,2012-Q1,2012,271000000,USD
1605,/organization/vitrue,Vitrue,|Advertising|Sales and Marketing|Social Media Marketing|Social Media Advertising|Social Media|Enterprise Software|,Enterprise Software,USA,GA,Atlanta,Atlanta,/organization/oracle,Oracle Corporation,|Software|Hardware|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Redwood City,5/23/12,2012-05,2012-Q2,2012,300000000,USD
770,/organization/joulex,JouleX,|Enterprise Software|,Enterprise Software,USA,GA,Atlanta,Atlanta,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,5/29/13,2013-05,2013-Q2,2013,107000000,USD
479,/organization/eds,EDS,|Enterprise Software|,Enterprise Software,USA,TX,Dallas,Plano,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Hardware + Software,USA,CA,SF Bay Area,Palo Alto,5/13/08,2008-05,2008-Q2,2008,13900000000,USD
1550,/organization/userplane,Userplane,|Video Chat|Chat|Enterprise Software|,Enterprise Software,USA,CA,Los Angeles,Santa Monica,/organization/aol,AOL,|Advertising Platforms|Content Creators|Digital Media|News|,Service Provider,USA,NY,New York City,New York,8/14/06,2006-08,2006-Q3,2006,40000000,USD
1675,/organization/yammer,Yammer,|Twitter Applications|Networking|Social Media|Enterprises|Web Development|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,/organization/microsoft,Microsoft,|Video Games|Software|,Software,USA,WA,Seattle,Redmond,6/25/12,2012-06,2012-Q2,2012,1200000000,USD
905,/organization/mercury-interactive,Mercury Interactive,|Enterprises|Business Development|Optimization|,Enterprise Software,USA,CA,SF Bay Area,Mountain View,/organization/hewlett-packard,Hewlett-Packard,|Information Technology|Curated Web|,Hardware + Software,USA,CA,SF Bay Area,Palo Alto,7/26/06,2006-07,2006-Q3,2006,4500000000,USD
831,/organization/liverail,LiveRail,|Internet Marketing|Entertainment|Enterprises|Video|Advertising|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,/organization/facebook,Facebook,|Communities|Identity|All Students|Colleges|Facebook Applications|Social Media|,Social Media,USA,CA,SF Bay Area,Menlo Park,7/2/14,2014-07,2014-Q3,2014,500000000,USD
1644,/organization/whiptail,WhipTail,|Storage|Enterprise Software|,Enterprise Software,USA,NJ,Newark,Whippany,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Enterprise Software,USA,CA,SF Bay Area,San Jose,9/11/13,2013-09,2013-Q3,2013,415000000,USD
919,/organization/micros-systems,MICROS Systems,|Enterprise Software|Retail|Hospitality|,Enterprise Software,USA,MD,Baltimore,Columbia,/organization/oracle,Oracle Corporation,|Software|Hardware|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Redwood City,6/23/14,2014-06,2014-Q2,2014,5300000000,USD
1646,/organization/widevine,Widevine Technologies,|Consumer Electronics|Internet TV|Digital Rights Management|Games|,Hardware + Software,USA,WA,Seattle,Seattle,/organization/google,Google,|Software|Video Streaming|Information Technology|Blogging Platforms|Email|Search|,Service Provider,USA,CA,SF Bay Area,Mountain View,12/16/10,2010-12,2010-Q4,2010,160000000,USD
